c7bd  4c d9 c7  JMP $c7d9                       A:80 X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c7d9  ea        NOP                             A:80 X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c7da  60        RTS                             A:80 X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c600  20 db c7  JSR $c7db                       A:80 X:00 Y:00 P:a4 SP:fd PPU:  0, 21 CYC:7
c7db  ea        NOP                             A:80 X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c7dc  a9 ff     LDA #$ff                        A:80 X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c7de  85 01     STA $01 = 00                    A:ff X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c7e0  24 01     BIT $01 = ff                    A:ff X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c7e2  a9 00     LDA #$00                        A:ff X:00 Y:00 P:e4 SP:fb PPU:  0, 21 CYC:7
c7e4  38        SEC                             A:00 X:00 Y:00 P:66 SP:fb PPU:  0, 21 CYC:7
c7e5  78        SEI                             A:00 X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c7e6  f8        SED                             A:00 X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c7e7  08        PHP                             A:00 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c7e8  68        PLA                             A:00 X:00 Y:00 P:6f SP:fa PPU:  0, 21 CYC:7
c7e9  29 ef     AND #$ef                        A:7f X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c7eb  c9 6f     CMP #$6f                        A:6f X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c7ed  f0 04     BEQ $c7f3                       A:6f X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c7f3  ea        NOP                             A:6f X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c7f4  a9 40     LDA #$40                        A:6f X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c7f6  85 01     STA $01 = ff                    A:40 X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c7f8  24 01     BIT $01 = 40                    A:40 X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c7fa  d8        CLD                             A:40 X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c7fb  a9 10     LDA #$10                        A:40 X:00 Y:00 P:65 SP:fb PPU:  0, 21 CYC:7
c7fd  18        CLC                             A:10 X:00 Y:00 P:65 SP:fb PPU:  0, 21 CYC:7
c7fe  08        PHP                             A:10 X:00 Y:00 P:64 SP:fb PPU:  0, 21 CYC:7
c7ff  68        PLA                             A:10 X:00 Y:00 P:64 SP:fa PPU:  0, 21 CYC:7
c800  29 ef     AND #$ef                        A:74 X:00 Y:00 P:64 SP:fb PPU:  0, 21 CYC:7
c802  c9 64     CMP #$64                        A:64 X:00 Y:00 P:64 SP:fb PPU:  0, 21 CYC:7
c804  f0 04     BEQ $c80a                       A:64 X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c80a  ea        NOP                             A:64 X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c80b  a9 80     LDA #$80                        A:64 X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c80d  85 01     STA $01 = 40                    A:80 X:00 Y:00 P:e5 SP:fb PPU:  0, 21 CYC:7
c80f  24 01     BIT $01 = 80                    A:80 X:00 Y:00 P:e5 SP:fb PPU:  0, 21 CYC:7
c811  f8        SED                             A:80 X:00 Y:00 P:a5 SP:fb PPU:  0, 21 CYC:7
c812  a9 00     LDA #$00                        A:80 X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c814  38        SEC                             A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c815  08        PHP                             A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c816  68        PLA                             A:00 X:00 Y:00 P:2f SP:fa PPU:  0, 21 CYC:7
c817  29 ef     AND #$ef                        A:3f X:00 Y:00 P:2d SP:fb PPU:  0, 21 CYC:7
c819  c9 2f     CMP #$2f                        A:2f X:00 Y:00 P:2d SP:fb PPU:  0, 21 CYC:7
c81b  f0 04     BEQ $c821                       A:2f X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c821  ea        NOP                             A:2f X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c822  a9 ff     LDA #$ff                        A:2f X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c824  48        PHA                             A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c825  28        PLP                             A:ff X:00 Y:00 P:ad SP:fa PPU:  0, 21 CYC:7
c826  d0 09     BNE $c831                       A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c828  10 07     BPL $c831                       A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c82a  50 05     BVC $c831                       A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c82c  90 03     BCC $c831                       A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c82e  4c 35 c8  JMP $c835                       A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c835  ea        NOP                             A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c836  a9 04     LDA #$04                        A:ff X:00 Y:00 P:ef SP:fb PPU:  0, 21 CYC:7
c838  48        PHA                             A:04 X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c839  28        PLP                             A:04 X:00 Y:00 P:6d SP:fa PPU:  0, 21 CYC:7
c83a  f0 09     BEQ $c845                       A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
c83c  30 07     BMI $c845                       A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
c83e  70 05     BVS $c845                       A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
